,title,upc,color,size
42,"The North Face Half Dome Full-Zip Hoodie - Women's Heather Grey/Tnf White, XL",757969295465,Heather Grey/Tnf White,XL
43,"The North Face Half Dome Full-Zip Hoodie - Women's Heather Grey/Tnf White, L",757969295861,Heather Grey/Tnf White,L
44,"The North Face Half Dome Full-Zip Hoodie - Women's Heather Grey/Tnf White, M",757969295878,Heather Grey/Tnf White,M
45,"The North Face Half Dome Full-Zip Hoodie - Women's Heather Grey/Tnf White, S",757969295885,Heather Grey/Tnf White,S
46,"The North Face Half Dome Full-Zip Hoodie - Women's Cerise Pink, XS",885928780971,Cerise Pink,XS
47,"The North Face Half Dome Full-Zip Hoodie - Women's Heather Grey/Tnf White, XXL",757969295441,Heather Grey/Tnf White,XXL
48,"The North Face Half Dome Full-Zip Hoodie - Women's Starry Purple/Surf Green, XXL",757969254974,Starry Purple/Surf Green,XXL
49,"The North Face Half Dome Full-Zip Hoodie - Women's Starry Purple/Surf Green, XS",757969255032,Starry Purple/Surf Green,XS
50,"The North Face Half Dome Full-Zip Hoodie - Women's Starry Purple/Surf Green, XL",757969255049,Starry Purple/Surf Green,XL
51,"The North Face Half Dome Full-Zip Hoodie - Women's Luminous Pink/Tnf White, XXL",757969075128,Luminous Pink/Tnf White,XXL
52,"The North Face Half Dome Full-Zip Hoodie - Women's Juniper Teal/Luminous Pink, XXL",757969257869,Juniper Teal/Luminous Pink,XXL
